sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ_124_125	HL	1292.5865348458387	1000	1.2	Free-living
KJ_124_125	LL	1322.5219990126625	1000	1.2	Free-living
KJ_124_125	unclassified	251.54725859598202	1000	1.2	Free-living
KJ_22	HL	29542.5022810585	75	20.0	Particle-bound
KJ_22	LL	2063.4077146403965	75	20.0	Particle-bound
KJ_22	unclassified	4629.4912871730185	75	20.0	Particle-bound
KJ_23	HL	29065.28329253764	75	20.0	Particle-bound
KJ_23	LL	1907.9417570423311	75	20.0	Particle-bound
KJ_23	unclassified	4771.956335948417	75	20.0	Particle-bound
KJ_25	HL	50315.157038962774	75	5.0	Particle-bound
KJ_25	LL	3103.1461972945754	75	5.0	Particle-bound
KJ_25	unclassified	8044.420640239593	75	5.0	Particle-bound
KJ_26	HL	26715.73766443881	75	5.0	Particle-bound
KJ_26	LL	1797.1207874929432	75	5.0	Particle-bound
KJ_26	unclassified	4421.598109568174	75	5.0	Particle-bound
KJ_28	HL	234211.94405556083	75	1.2	Free-living
KJ_28	LL	20034.867891124566	75	1.2	Free-living
KJ_28	unclassified	37401.01149167387	75	1.2	Free-living
KJ_29	HL	126855.77398773169	75	1.2	Free-living
KJ_29	LL	9031.574218933341	75	1.2	Free-living
KJ_29	unclassified	21204.138185521944	75	1.2	Free-living
KJ_31	HL	4734223.071708226	75	0.2	Free-living
KJ_31	LL	299961.0343156864	75	0.2	Free-living
KJ_31	unclassified	777186.1881311202	75	0.2	Free-living
KJ_32	HL	3791705.3018938443	75	0.2	Free-living
KJ_32	LL	10589.796913287126	75	0.2	Free-living
KJ_32	unclassified	577914.2750351088	75	0.2	Free-living
KJ_34_35	HL	847.7059650903315	150	20.0	Particle-bound
KJ_34_35	LL	13582.991429062966	150	20.0	Particle-bound
KJ_34_35	unclassified	1119.713003571881	150	20.0	Particle-bound
KJ_37_38	HL	1562.0113607237265	150	5.0	Particle-bound
KJ_37_38	LL	17260.163403484916	150	5.0	Particle-bound
KJ_37_38	unclassified	1353.9917093433342	150	5.0	Particle-bound
KJ_40_41	HL	2851.4646613848126	150	1.2	Free-living
KJ_40_41	LL	57480.112382089756	150	1.2	Free-living
KJ_40_41	unclassified	4328.578758930747	150	1.2	Free-living
KJ_43_44	HL	82859.91851814293	150	0.2	Free-living
KJ_43_44	LL	1308065.7647565342	150	0.2	Free-living
KJ_43_44	unclassified	93642.96204435772	150	0.2	Free-living
KJ_46_47	HL	468.88906490394527	300	20.0	Particle-bound
KJ_46_47	LL	175.8625929965106	300	20.0	Particle-bound
KJ_46_47	unclassified	123.3918591852476	300	20.0	Particle-bound
KJ_49_50	HL	338.99498743470565	300	5.0	Particle-bound
KJ_49_50	LL	371.5524239111981	300	5.0	Particle-bound
KJ_49_50	unclassified	64.61781285411661	300	5.0	Particle-bound
KJ_52_53	HL	249.31326873278476	300	1.2	Free-living
KJ_52_53	LL	346.26842879552635	300	1.2	Free-living
KJ_52_53	unclassified	163.97485595862713	300	1.2	Free-living
KJ_58_59	HL	9160.736185518417	1000	20.0	Particle-bound
KJ_58_59	LL	1550.1442902818164	1000	20.0	Particle-bound
KJ_58_59	unclassified	1730.5221689772284	1000	20.0	Particle-bound
KJ_64_65	HL	3173.605999657831	1000	1.2	Free-living
KJ_64_65	LL	878.4048142090707	1000	1.2	Free-living
KJ_64_65	unclassified	556.2634759360644	1000	1.2	Free-living
KJ_70_71	HL	626766.2629149824	5	20.0	Particle-bound
KJ_70_71	LL	39479.945456539856	5	20.0	Particle-bound
KJ_70_71	unclassified	108559.30136389495	5	20.0	Particle-bound
KJ_94_95	HL	501.66381109762716	150	20.0	Particle-bound
KJ_94_95	LL	1233.91859185249	150	20.0	Particle-bound
KJ_94_95	unclassified	232.61506324638432	150	20.0	Particle-bound
KJ_97_98	HL	630.7692654760183	150	5.0	Particle-bound
KJ_97_98	LL	1620.9129824407385	150	5.0	Particle-bound
KJ_97_98	unclassified	304.20078051324737	150	5.0	Particle-bound
