Vial #	Standard Added Vol (uL)	sample	Depth	Filter size (um)	Notes	date extracted	Standard Added Concentration (ng/uL)	Standard Added Mass (ng)	Standard Added Mass (g)	Standard Added Moles	Standard Added Molecules	Standard Recovered Read Count	Standard Recovered Base Pair	Standard Recovered Molecules	Efficiency	Efficiency Z-scores	Absolute Efficiency Z-scores
4041	6.2	KJ_40_41	150.0	1.2	DNA extraction combined: 40+41	2024-07-15	0.1	0.6200000000000001	6.200000000000001e-10	9.35769673041987e-19	563520.4971058846	16207	2431050	1.1340397106322315	2.012419630619305e-06	-0.3760606711478196	0.3760606711478196
4344	7.3	KJ_43_44	150.0	0.2	DNA extraction combined: 43+44	2024-07-15	0.1	0.73	7.300000000000001e-10	1.1017933247107266e-18	663499.9401407996	14439	2165850	1.0103288320984014	1.5227263349624449e-06	-0.38729188267096554	0.38729188267096554
4647	15.0	KJ_46_47	300.0	20.0	DNA extraction combined: 46+47	2024-07-15	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	664272	99640800	46.48058410940296	3.409277011907872e-05	0.35970844243428046	0.35970844243428046
4950	5.3	KJ_49_50	300.0	5.0	DNA extraction combined: 49+50	2024-07-15	0.1	0.53	5.3e-10	7.999321398584727e-19	481719.1346227723	65641	9846150	4.593046254433906	9.53469755364951e-06	-0.20353575557567918	0.20353575557567918
5253	17.4	KJ_52_53	300.0	1.2	DNA extraction combined: 52+53	2024-07-15	0.1	1.74	1.7400000000000002e-09	2.6261923082146086e-18	1581493.0080068375	108916	16337400	7.621093917641768	4.818923560874079e-06	-0.3116929545366474	0.3116929545366474
5556	4.1	KJ_55_56	300.0	0.2	DNA extraction combined: 55+56	2024-07-15	0.1	0.41	4.1e-10	6.188154289471203e-19	372650.6513119559	17068	2560200	1.1942857889227452	3.2048402027962014e-06	-0.34871227207957156	0.34871227207957156
5859	4.23	KJ_58_59	1000.0	20.0	DNA extraction combined: 58+59	2024-07-18	0.1	0.42300000000000004	4.230000000000001e-10	6.38436405962517e-19	384466.40367062774	420185	63027750	29.40127573344877	7.647293873468548e-05	1.3317058994752295	1.3317058994752295
6465	5.68	KJ_64_65	1000.0	1.2	DNA extraction combined: 64+65	2024-07-18	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	68103	10215450	4.765317851125246	9.230506026404135e-06	-0.21051244775493172	0.21051244775493172
6768	3.86	KJ_67_68	1000.0	0.2	DNA extraction combined: 67+68	2024-07-18	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	21079	3161850	1.4749443487639176	4.204073513966666e-06	-0.32579466063121526	0.32579466063121526
7071	6.5	KJ_70_71	5.0	20.0	DNA extraction combined: 70+71	2024-07-18	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	7074	1061100	0.4949834585680512	8.378365482664756e-07	-0.40299996389782144	0.40299996389782144
