sample_name	classification	genome_equivalents	percentage	depth	filter size (um)	cell_state	binned_depth
ERR599135	unclassified	3.52998504186531	10.922245699110656	5.0	0.22	Free-living	5
ERR599139	HL	725.9675185422503	87.24597409493427	5.0	0.22	Free-living	5
ERR599139	LL	9.98772027258454	1.2003131846988373	5.0	0.22	Free-living	5
ERR599139	unclassified	96.13761827483323	11.553712720366885	5.0	0.22	Free-living	5
ERR599141	HL	71.20669634116585	82.45918237740956	5.0	0.22	Free-living	5
ERR599141	LL	0.5272552977460996	0.6105751704585985	5.0	0.22	Free-living	5
ERR599141	unclassified	14.619919801697405	16.93024245213185	5.0	0.22	Free-living	5
ERR599146	HL	30.967193489406473	79.77976711532612	5.0	0.22	Free-living	5
ERR599146	LL	1.2712440249633938	3.275064377177863	5.0	0.22	Free-living	5
ERR599146	unclassified	6.5774109258012645	16.94516850749602	5.0	0.22	Free-living	5
ERR599148	HL	69.34239096748487	51.42187113966793	150.0	0.22	Free-living	150
ERR599148	LL	45.21401571413384	33.52911916246607	150.0	0.22	Free-living	150
ERR599148	unclassified	20.293588914890552	15.049009697865998	150.0	0.22	Free-living	150
ERR599150	HL	608.5628542461405	81.4931206167214	5.0	0.22	Free-living	5
ERR599150	LL	11.64698099190451	1.5596561968437874	5.0	0.22	Free-living	5
ERR599150	unclassified	126.55608762841929	16.947223186434805	5.0	0.22	Free-living	5
ERR599151	HL	65.78972675258382	84.94529582459485	5.0	0.22	Free-living	5
ERR599151	LL	2.7361054728244323	3.5327596004529145	5.0	0.22	Free-living	5
ERR599151	unclassified	8.923691157775043	11.521944574952226	5.0	0.22	Free-living	5
ERR599160	HL	12.232961185502964	76.58404838299488	5.0	0.22	Free-living	5
ERR599160	LL	1.316185014151644	8.23993269301115	5.0	0.22	Free-living	5
ERR599160	unclassified	2.424103378803604	15.176018923993965	5.0	0.22	Free-living	5
ERR599162	HL	193.14784632116346	82.75935540432057	5.0	0.22	Free-living	5
ERR599162	LL	1.2892432361483115	0.5524107113552815	5.0	0.22	Free-living	5
ERR599162	unclassified	38.94781946903367	16.68823388432415	5.0	0.22	Free-living	5
ERR599165	HL	22.396360882143107	27.36199384207304	5.0	0.22	Free-living	5
ERR599165	LL	51.130277689284284	62.466681557767814	5.0	0.22	Free-living	5
ERR599165	unclassified	8.32544067180907	10.171324600159148	5.0	0.22	Free-living	5
ERR599299	HL	0.2502221457830926	53.78069346601446	60.0	20.0	Particle-bound	45
ERR599299	LL	0.1049263028280146	22.5519979906469	60.0	20.0	Particle-bound	45
ERR599299	unclassified	0.1101154400764104	23.667308543338635	60.0	20.0	Particle-bound	45
ERR599314	HL	0.6015114344137579	56.679697024516486	5.0	20.0	Particle-bound	5
ERR599314	LL	0.2636554726652663	24.843937213076497	5.0	20.0	Particle-bound	5
ERR599314	unclassified	0.19607982850881328	18.476365762407013	5.0	20.0	Particle-bound	5
KJ10	HL	0.6991006032342557	85.80580826708199	5.0	20.0	Particle-bound	5
KJ10	LL	0.0061546228383113	0.7554025626314415	5.0	20.0	Particle-bound	5
KJ10	unclassified	0.10949218713075856	13.43878917028658	5.0	20.0	Particle-bound	5
KJ102	HL	0.0132886431626474	1.963718895449227	150.0	0.2	Free-living	150
KJ102	LL	0.5819262670724941	85.99370096870223	150.0	0.2	Free-living	150
KJ102	unclassified	0.0814931050231954	12.042580135848542	150.0	0.2	Free-living	150
KJ11	HL	0.4150447261157792	86.99574845305516	5.0	20.0	Particle-bound	5
KJ11	LL	0.0025069236787153997	0.5254655414744256	5.0	20.0	Particle-bound	5
KJ11	unclassified	0.0595345682058558	12.478786005470415	5.0	20.0	Particle-bound	5
KJ12	HL	0.0846817116112176	73.62475204412421	5.0	5.0	Particle-bound	5
KJ12	LL	0.0032804251023367	2.85209734384805	5.0	5.0	Particle-bound	5
KJ12	unclassified	0.027055855551420416	23.523150612027738	5.0	5.0	Particle-bound	5
KJ13	HL	0.6557233111685785	85.43163511661798	5.0	5.0	Particle-bound	5
KJ13	LL	0.0017779403226404998	0.23164091670350206	5.0	5.0	Particle-bound	5
KJ13	unclassified	0.1100403158374256	14.336723966678502	5.0	5.0	Particle-bound	5
KJ14	HL	0.2472366528782516	85.63636013184023	5.0	5.0	Particle-bound	5
KJ14	LL	0.0024011932682923	0.8317110310132266	5.0	5.0	Particle-bound	5
KJ14	unclassified	0.039067386651326	13.531928837146538	5.0	5.0	Particle-bound	5
KJ15	HL	0.129096831126574	73.01367491777755	5.0	1.2	Free-living	5
KJ15	LL	0.0034306735803063997	1.9402961587485321	5.0	1.2	Free-living	5
KJ15	unclassified	0.0442843476919381	25.046028923473923	5.0	1.2	Free-living	5
KJ16	HL	3.367071173678682	85.300009586322	5.0	1.2	Free-living	5
KJ16	LL	0.0100416066109702	0.254389971579369	5.0	1.2	Free-living	5
KJ16	unclassified	0.5702152329285278	14.445600442098613	5.0	1.2	Free-living	5
KJ17	HL	0.3345393657162728	84.3038542711102	5.0	1.2	Free-living	5
KJ17	LL	0.0034418030971930997	0.8673337026103798	5.0	1.2	Free-living	5
KJ17	unclassified	0.0588445381588842	14.828812026279426	5.0	1.2	Free-living	5
KJ18	HL	13.138892730558526	74.76129379948078	5.0	0.2	Free-living	5
KJ18	LL	0.0646652754905966	0.3679503104803373	5.0	0.2	Free-living	5
KJ18	unclassified	4.370900731648347	24.870755890038886	5.0	0.2	Free-living	5
KJ19	HL	13.814251291894356	84.75670098481811	5.0	0.2	Free-living	5
KJ19	LL	0.0295126964041459	0.1810737861594881	5.0	0.2	Free-living	5
KJ19	unclassified	2.4549488348549255	15.062225229022408	5.0	0.2	Free-living	5
KJ20	HL	15.020674228130744	85.25599539868726	5.0	0.2	Free-living	5
KJ20	LL	0.0326734791999514	0.18545172806645824	5.0	0.2	Free-living	5
KJ20	unclassified	2.564972456417021	14.558552873246274	5.0	0.2	Free-living	5
KJ21	HL	0.22698649690301118	56.634686141926935	75.0	20.0	Particle-bound	75
KJ21	LL	0.08543573638028741	21.316801577273903	75.0	20.0	Particle-bound	75
KJ21	unclassified	0.0883683640799169	22.048512280799166	75.0	20.0	Particle-bound	75
KJ24	HL	0.10960348229962501	64.62154270153229	75.0	5.0	Particle-bound	75
KJ24	LL	0.0248883821377472	14.674037862134481	75.0	5.0	Particle-bound	75
KJ24	unclassified	0.035116408156569016	20.70441943633323	75.0	5.0	Particle-bound	75
KJ27	HL	0.1838651837257266	63.50740961423881	75.0	1.2	Free-living	75
KJ27	LL	0.0436277061956264	15.069098737194112	75.0	1.2	Free-living	75
KJ27	unclassified	0.0620247976092414	21.42349164856707	75.0	1.2	Free-living	75
KJ30	HL	6.9513793874676795	66.1458187165314	75.0	0.2	Free-living	75
KJ30	LL	1.0379470919856582	9.876580798857095	75.0	0.2	Free-living	75
KJ30	unclassified	2.519847830200142	23.977600484611518	75.0	0.2	Free-living	75
KJ33	HL	0.007117326049005701	6.275144735550827	150.0	20.0	Particle-bound	150
KJ33	LL	0.094280919925944	83.12481601413042	150.0	20.0	Particle-bound	150
KJ33	unclassified	0.012022660616792	10.600039250318764	150.0	20.0	Particle-bound	150
KJ36	HL	0.0026265659852468	3.288396558330606	150.0	5.0	Particle-bound	150
KJ36	LL	0.0676452036369943	84.69014526073806	150.0	5.0	Particle-bound	150
KJ36	unclassified	0.009601990693948001	12.021458180931335	150.0	5.0	Particle-bound	150
KJ39	HL	0.0069587304333711	3.1932279563850976	150.0	1.2	Free-living	150
KJ39	LL	0.18764643708796208	86.1073517019485	150.0	1.2	Free-living	150
KJ39	unclassified	0.023316337877509398	10.699420341666396	150.0	1.2	Free-living	150
KJ42	HL	0.0946259349494299	2.5919577592205405	150.0	0.2	Free-living	150
KJ42	LL	3.199452302228227	87.6381852866061	150.0	0.2	Free-living	150
KJ42	unclassified	0.35667319242457707	9.769856954173356	150.0	0.2	Free-living	150
KJ48	HL	0.0024345818189523	49.24029262802789	300.0	5.0	Particle-bound	300
KJ48	LL	0.0014106662653814	28.531232414180913	300.0	5.0	Particle-bound	300
KJ48	unclassified	0.0010990397925554	22.228474957791207	300.0	5.0	Particle-bound	300
KJ60	HL	0.0009988741405758	19.9999999999996	1000.0	5.0	Particle-bound	1000
KJ60	LL	0.0037395176739106997	74.87465181058714	1000.0	5.0	Particle-bound	1000
KJ60	unclassified	0.0002559788883926	5.125348189413255	1000.0	5.0	Particle-bound	1000
KJ69	HL	0.396199671647477	75.31191326193316	5.0	20.0	Particle-bound	5
KJ69	LL	0.0092208047405805	1.7527436202564628	5.0	20.0	Particle-bound	5
KJ69	unclassified	0.12065787494727966	22.9353431178104	5.0	20.0	Particle-bound	5
KJ72	HL	0.0976058630958277	74.5368009518954	5.0	5.0	Particle-bound	5
KJ72	LL	0.0021841676890028	1.667941526431953	5.0	5.0	Particle-bound	5
KJ72	unclassified	0.031159864903368698	23.795257521672642	5.0	5.0	Particle-bound	5
KJ7374	HL	0.419741382241941	85.31622375170376	5.0	5.0	Particle-bound	5
KJ7374	LL	0.0033861555127598	0.6882666651585007	5.0	5.0	Particle-bound	5
KJ7374	unclassified	0.0688555385984164	13.995509583137741	5.0	5.0	Particle-bound	5
KJ75	HL	0.6465525892539876	76.57130429624945	5.0	1.2	Free-living	5
KJ75	LL	0.0081273297064682	0.9625206772243797	5.0	1.2	Free-living	5
KJ75	unclassified	0.1896998329535473	22.46617502652616	5.0	1.2	Free-living	5
KJ7677	HL	0.5089639367429077	84.6913500224549	5.0	1.2	Free-living	5
KJ7677	LL	0.003795165258343835	0.6315136418983954	5.0	1.2	Free-living	5
KJ7677	unclassified	0.08820420370583901	14.67713633564671	5.0	1.2	Free-living	5
KJ78	HL	12.447273945051315	75.12810178281138	5.0	0.2	Free-living	5
KJ78	LL	0.0632991272927615	0.3820550024854551	5.0	0.2	Free-living	5
KJ78	unclassified	4.057493536120581	24.489843214703154	5.0	0.2	Free-living	5
KJ7980	HL	16.569788901202863	83.17312553665631	5.0	0.2	Free-living	5
KJ7980	LL	0.0394263135709199	0.19790292728736253	5.0	0.2	Free-living	5
KJ7980	unclassified	3.312831473131645	16.628971536056323	5.0	0.2	Free-living	5
KJ81	HL	0.1487237341561625	59.46511213955152	75.0	20.0	Particle-bound	75
KJ81	LL	0.0474813014176252	18.9847365610537	75.0	20.0	Particle-bound	75
KJ81	unclassified	0.0538974679027729	21.55015129939478	75.0	20.0	Particle-bound	75
KJ8283	HL	1.5382606117284257	83.57098480370891	75.0	20.0	Particle-bound	75
