sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
SRR9178103	Free-living	45.0	45	32196484.0	13322861.0	295.71529087963063	0.41379863093125324	True	True	True	True
SRR9178104	Free-living	25.0	45	24278766.0	10261902.0	180.37830236768556	0.4226698342082131	True	True	True	True
SRR9178098	Free-living	175.0	300	7862533.0	129045.0	20.322047244094488	0.01641264971479293	True	True	True	True
KJ8586	Particle-bound	75.0	75	138811.0	17925.0	26.674107142857142	0.1291324174597114	True	True	False	True
SRR9178106	Free-living	25.0	45	15039323.0	5936443.0	134.80273854398473	0.39472807386343123	True	True	True	True
KJ84	Particle-bound	75.0	75	102855.0	4314.0	6.225108225108225	0.041942540469593115	True	True	False	True
SRR9178107	Free-living	200.0	300	10234331.0	64522.0	16.69391979301423	0.006304466799051154	True	True	True	True
SRR9178108	Free-living	125.0	150	3243242.0	363947.0	47.9951206646446	0.11221703468319663	True	True	True	True
KJ8283	Particle-bound	75.0	75	431515.0	84397.0	63.5519578313253	0.19558300406706602	True	True	True	True
SRR9178109	Free-living	75.0	75	14866241.0	5681515.0	143.37484543366895	0.38217562866093724	True	True	True	True
SRR9178110	Free-living	225.0	300	10214457.0	68462.0	17.345325563719282	0.006702461031457668	True	True	True	True
SRR9178105	Free-living	25.0	45	12710486.0	4456359.0	123.89443687619895	0.350604925728253	True	True	True	True
KJ9	Particle-bound	5.0	5	880684.0	10614.0	3.2222222222222223	0.012051995948603586	True	True	False	True
SRR9178097	Free-living	25.0	45	13895892.0	4222051.0	77.93644435419858	0.3038344713675092	True	True	True	True
SRR9178096	Free-living	125.0	150	12730930.0	859506.0	33.13821953194279	0.0675132138814682	True	True	True	True
SRR9178085	Free-living	75.0	75	18091165.0	6935044.0	130.01826055981553	0.38333871809803294	True	True	True	True
KJ99	Free-living	150.0	150	358154.0	4988.0	8.766256590509666	0.01392696996264177	True	True	False	True
SRR9178086	Free-living	150.0	150	9391441.0	219547.0	15.872397339502603	0.023377349652731673	True	True	True	True
SRR9178087	Free-living	125.0	150	12536898.0	1690029.0	35.69980988593156	0.1348043989829063	True	True	True	True
KJ96	Particle-bound	150.0	150	116549.0	1232.0	5.866666666666666	0.010570661266934938	True	True	False	True
SRR9178088	Free-living	175.0	300	15182120.0	1011663.0	29.38147653345725	0.0666351603069927	True	True	True	True
SRR9178089	Free-living	45.0	45	11532415.0	4105744.0	169.9678754760722	0.35601771181491476	True	True	True	True
KJ93	Particle-bound	150.0	150	390158.0	3468.0	5.504761904761905	0.008888706626546169	True	True	False	True
SRR9178090	Free-living	175.0	300	11927576.0	1054884.0	28.367009976604727	0.08844076952433587	True	True	True	True
SRR9178091	Free-living	250.0	300	20921101.0	92393.0	16.689486994219653	0.004416258972221395	True	True	True	True
KJ92	Free-living	75.0	75	1654203.0	431364.0	147.72739726027396	0.26076847883844967	True	True	True	True
SRR9178092	Free-living	5.0	5	14261901.0	4828947.0	130.06213639301873	0.33859069699053446	True	True	True	True
SRR9178093	Free-living	5.0	5	5893411.0	2278412.0	142.10765296575812	0.38660327609935907	True	True	True	True
KJ91	Free-living	75.0	75	2192520.0	499656.0	123.86117997025285	0.22789119369492639	True	True	True	True
SRR9178094	Free-living	25.0	45	11488163.0	3932875.0	116.11334179681734	0.3423415040333254	True	True	True	True
SRR9178095	Free-living	250.0	300	6884688.0	17715.0	11.503246753246753	0.00257310135186954	True	False	False	False
KJ90	Free-living	75.0	75	1566246.0	156716.0	23.676688321498716	0.10005835609476417	True	True	True	True
