sample_name	depth	filter size (um)	cell_state	binned_depth
SRR9178160	200.0	0.2	Free-living	300
SRR9178460	225.0	0.2	Free-living	300
SRR9178501	250.0	0.2	Free-living	300
SRR9178118	500.0	0.2	Free-living	1000
SRR17827665	770.0	0.2	Free-living	1000
SRR17827597	1000.0	0.2	Free-living	1000
SRR9178223	200.0	0.2	Free-living	300
SRR9178291	225.0	0.2	Free-living	300
SRR9178445	250.0	0.2	Free-living	300
SRR9178288	500.0	0.2	Free-living	1000
SRR17827656	770.0	0.2	Free-living	1000
SRR9178219	5.0	0.2	Free-living	5
SRR9178330	25.0	0.2	Free-living	45
SRR9178314	45.0	0.2	Free-living	45
SRR9178274	75.0	0.2	Free-living	75
SRR9178485	100.0	0.2	Free-living	150
SRR9178442	125.0	0.2	Free-living	150
SRR9178289	150.0	0.2	Free-living	150
SRR9178222	175.0	0.2	Free-living	300
SRR9178354	200.0	0.2	Free-living	300
SRR9178150	225.0	0.2	Free-living	300
SRR9178208	250.0	0.2	Free-living	300
SRR9178444	500.0	0.2	Free-living	1000
SRR17827649	770.0	0.2	Free-living	1000
SRR9178156	5.0	0.2	Free-living	5
SRR9178290	25.0	0.2	Free-living	45
SRR9178157	45.0	0.2	Free-living	45
SRR9178482	75.0	0.2	Free-living	75
SRR9178273	100.0	0.2	Free-living	150
SRR9178087	125.0	0.2	Free-living	150
SRR9178464	150.0	0.2	Free-living	150
SRR9178492	175.0	0.2	Free-living	300
SRR9178374	200.0	0.2	Free-living	300
SRR9178110	225.0	0.2	Free-living	300
SRR9178114	250.0	0.2	Free-living	300
SRR9178084	500.0	0.2	Free-living	1000
SRR17827570	770.0	0.2	Free-living	1000
SRR17827562	1000.0	0.2	Free-living	1000
SRR9178338	5.0	0.2	Free-living	5
SRR9178105	25.0	0.2	Free-living	45
SRR9178334	45.0	0.2	Free-living	45
SRR9178216	75.0	0.2	Free-living	75
SRR9178117	100.0	0.2	Free-living	150
SRR9178536	125.0	0.2	Free-living	150
SRR9178371	150.0	0.2	Free-living	150
SRR9178234	175.0	0.2	Free-living	300
SRR9178458	200.0	0.2	Free-living	300
SRR9178489	225.0	0.2	Free-living	300
SRR9178280	250.0	0.2	Free-living	300
SRR9178068	500.0	0.2	Free-living	1000
SRR17827576	770.0	0.2	Free-living	1000
SRR17827650	1000.0	0.2	Free-living	1000
SRR9178285	5.0	0.2	Free-living	5
SRR9178151	25.0	0.2	Free-living	45
SRR9178286	45.0	0.2	Free-living	45
SRR9178085	75.0	0.2	Free-living	75
SRR9178293	200.0	0.2	Free-living	300
SRR9178221	225.0	0.2	Free-living	300
SRR9178355	250.0	0.2	Free-living	300
SRR9178481	500.0	0.2	Free-living	1000
SRR17827572	770.0	0.2	Free-living	1000
SRR17827596	1000.0	0.2	Free-living	1000
SRR9178152	100.0	0.2	Free-living	150
SRR9178533	125.0	0.2	Free-living	150
SRR9178086	150.0	0.2	Free-living	150
SRR9178408	175.0	0.2	Free-living	300
SRR9178407	5.0	0.2	Free-living	5
SRR9178094	25.0	0.2	Free-living	45
SRR9178411	45.0	0.2	Free-living	45
SRR9178226	75.0	0.2	Free-living	75
SRR9178488	100.0	0.2	Free-living	150
SRR9178461	125.0	0.2	Free-living	150
SRR9178500	150.0	0.2	Free-living	150
SRR9178278	175.0	0.2	Free-living	300
SRR9178189	200.0	0.2	Free-living	300
SRR9178111	225.0	0.2	Free-living	300
SRR9178235	250.0	0.2	Free-living	300
SRR9178463	500.0	0.2	Free-living	1000
SRR17827592	770.0	0.2	Free-living	1000
SRR17827669	1000.0	0.2	Free-living	1000
SRR23969198	5.0	0.2	Free-living	5
SRR23969159	25.0	0.2	Free-living	45
SRR23969168	45.0	0.2	Free-living	45
SRR23969206	75.0	0.2	Free-living	75
SRR23969221	100.0	0.2	Free-living	150
SRR23969211	125.0	0.2	Free-living	150
SRR17827603	150.0	0.2	Free-living	150
SRR17827578	175.0	0.2	Free-living	300
SRR17827610	200.0	0.2	Free-living	300
SRR17827564	225.0	0.2	Free-living	300
SRR17827565	250.0	0.2	Free-living	300
SRR17827631	500.0	0.2	Free-living	1000
SRR17827566	770.0	0.2	Free-living	1000
SRR23969230	5.0	0.2	Free-living	5
SRR23969169	25.0	0.2	Free-living	45
SRR23969161	45.0	0.2	Free-living	45
SRR23969218	75.0	0.2	Free-living	75
SRR23969220	100.0	0.2	Free-living	150
SRR23969209	125.0	0.2	Free-living	150
SRR17827600	150.0	0.2	Free-living	150
SRR17827624	175.0	0.2	Free-living	300
SRR17827638	200.0	0.2	Free-living	300
SRR17827667	225.0	0.2	Free-living	300
SRR17827641	250.0	0.2	Free-living	300
SRR17827545	500.0	0.2	Free-living	1000
SRR17827571	770.0	0.2	Free-living	1000
SRR17827590	1000.0	0.2	Free-living	1000
SRR23969224	5.0	0.2	Free-living	5
SRR23969181	25.0	0.2	Free-living	45
SRR23969149	45.0	0.2	Free-living	45
SRR23969228	75.0	0.2	Free-living	75
SRR23969173	100.0	0.2	Free-living	150
SRR23969162	125.0	0.2	Free-living	150
SRR17827647	150.0	0.2	Free-living	150
SRR17827549	175.0	0.2	Free-living	300
SRR17827613	200.0	0.2	Free-living	300
SRR17827573	225.0	0.2	Free-living	300
SRR17827646	250.0	0.2	Free-living	300
SRR17827672	500.0	0.2	Free-living	1000
SRR17827606	770.0	0.2	Free-living	1000
SRR17827654	1000.0	0.2	Free-living	1000
SRR23969212	5.0	0.2	Free-living	5
SRR23969150	25.0	0.2	Free-living	45
SRR23969182	45.0	0.2	Free-living	45
SRR23969196	75.0	0.2	Free-living	75
SRR23969153	100.0	0.2	Free-living	150
SRR23969193	125.0	0.2	Free-living	150
SRR17827632	150.0	0.2	Free-living	150
SRR17827574	175.0	0.2	Free-living	300
SRR17827666	200.0	0.2	Free-living	300
SRR17827633	225.0	0.2	Free-living	300
SRR17827547	250.0	0.2	Free-living	300
SRR17827634	500.0	0.2	Free-living	1000
SRR17827653	770.0	0.2	Free-living	1000
SRR17827557	1000.0	0.2	Free-living	1000
SRR23969139	5.0	0.2	Free-living	5
SRR23969207	25.0	0.2	Free-living	45
SRR23969217	45.0	0.2	Free-living	45
SRR23969158	75.0	0.2	Free-living	75
SRR23969192	100.0	0.2	Free-living	150
SRR23969164	125.0	0.2	Free-living	150
SRR17827550	150.0	0.2	Free-living	150
SRR17827555	175.0	0.2	Free-living	300
SRR17827569	200.0	0.2	Free-living	300
SRR17827661	225.0	0.2	Free-living	300
SRR17827553	250.0	0.2	Free-living	300
SRR17827581	500.0	0.2	Free-living	1000
SRR17827577	770.0	0.2	Free-living	1000
SRR17827548	1000.0	0.2	Free-living	1000
SRR23969225	5.0	0.2	Free-living	5
SRR23969180	25.0	0.2	Free-living	45
SRR23969148	45.0	0.2	Free-living	45
SRR23969142	75.0	0.2	Free-living	75
SRR23969174	100.0	0.2	Free-living	150
SRR23969160	125.0	0.2	Free-living	150
SRR17827608	150.0	0.2	Free-living	150
SRR17827671	200.0	0.2	Free-living	300
SRR17827644	500.0	0.2	Free-living	1000
SRR17827663	770.0	0.2	Free-living	1000
SRR17827584	1000.0	0.2	Free-living	1000
SRR23969210	5.0	0.2	Free-living	5
SRR23969141	25.0	0.2	Free-living	45
SRR23969178	45.0	0.2	Free-living	45
SRR23969229	75.0	0.2	Free-living	75
SRR17827575	200.0	0.2	Free-living	300
SRR17827664	500.0	0.2	Free-living	1000
SRR17827607	770.0	0.2	Free-living	1000
SRR23969184	100.0	0.2	Free-living	150
SRR23969151	125.0	0.2	Free-living	150
SRR17827561	150.0	0.2	Free-living	150
SRR17827622	1000.0	0.2	Free-living	1000
SRR23969156	5.0	0.2	Free-living	5
SRR23969202	25.0	0.2	Free-living	45
SRR23969219	45.0	0.2	Free-living	45
SRR23969144	75.0	0.2	Free-living	75
SRR23969177	100.0	0.2	Free-living	150
SRR23969140	125.0	0.2	Free-living	150
SRR17827668	150.0	0.2	Free-living	150
SRR17827657	200.0	0.2	Free-living	300
SRR17827594	500.0	0.2	Free-living	1000
SRR17827585	770.0	0.2	Free-living	1000
SRR17827568	1000.0	0.2	Free-living	1000
