sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
SRR9178404	25.0	0.2	Free-living	45	7575093.0	74.51929633075132
SRR9178371	150.0	0.2	Free-living	150	3338939.0	21.93106852206644
SRR9178370	150.0	0.2	Free-living	150	2883470.0	46.753494921049985
SRR9178369	175.0	0.2	Free-living	300	1955708.0	5.2263937152172
ERR599040	150.0	0.22	Free-living	150	3296178.0	27.72941873891519
SRR9178465	100.0	0.2	Free-living	150	11615233.0	81.79771339929212
SRR9178368	5.0	0.2	Free-living	5	8068763.0	84.25282784982035
SRR9178367	45.0	0.2	Free-living	45	5132322.0	66.21694819615762
ERR599066	5.0	0.22	Free-living	5	6169287.0	30.550305083877603
SRR9178366	5.0	0.2	Free-living	5	3574.0	77.39227756015669
SRR9178476	75.0	0.2	Free-living	75	5694263.0	70.42314343401421
ERR4691803	100.0	20.0	Particle-bound	150	553276.0	2.6281638820407895
SRR9178362	75.0	0.2	Free-living	75	6293136.0	64.07668609100455
ERR599069	5.0	0.22	Free-living	5	8223526.0	42.65954774144327
SRR9178361	150.0	0.2	Free-living	150	3734282.0	41.788408052739456
ERR599038	5.0	0.22	Free-living	5	24911572.0	52.64207734461719
SRR9178477	150.0	0.2	Free-living	150	3672587.0	11.41903513790143
ERR599023	65.0	0.22	Free-living	45	17420986.0	34.61841941667366
SRR9178405	25.0	0.2	Free-living	45	1905535.0	76.41281844731269
SRR9178443	25.0	0.2	Free-living	45	3825647.0	79.38936864796987
ERR598972	65.0	0.22	Free-living	45	5848383.0	38.54063593304337
ERR598970	5.0	0.22	Free-living	5	9202253.0	68.64823212315507
SRR9178442	125.0	0.2	Free-living	150	4040867.0	37.61620959066458
SRR9178445	250.0	0.2	Free-living	300	2388547.0	1.1730143890825677
SRR9178441	150.0	0.2	Free-living	150	9130472.0	47.33181373317831
ERR598976	5.0	0.22	Free-living	5	24517888.0	36.32466222212941
SRR9178440	500.0	0.2	Free-living	1000	3529191.0	1.2195146139724373
SRR9178456	225.0	0.2	Free-living	300	2638606.0	1.139010522980695
SRR9178439	200.0	0.2	Free-living	300	5621736.0	2.2466547699856414
ERR598979	5.0	0.22	Free-living	5	4049474.0	18.184015998127165
SRR9178438	5.0	0.2	Free-living	5	2375679.0	75.16373213721214
ERR598957	155.0	0.22	Free-living	150	42361694.0	66.10424738916248
SRR9178437	125.0	0.2	Free-living	150	7647876.0	71.77782432664965
ERR588857	5.0	0.22	Free-living	5	22826039.0	16.324141915292444
ERR599002	75.0	0.22	Free-living	75	32415928.0	64.0504476688127
SRR9178436	25.0	0.2	Free-living	45	4409666.0	82.20268836687404
SRR9178411	45.0	0.2	Free-living	45	4739626.0	76.65845364170085
SRR9178458	200.0	0.2	Free-living	300	3061594.0	11.043364992223005
ERR599010	5.0	0.22	Free-living	5	2590625.0	60.934562123039804
SRR9178410	100.0	0.2	Free-living	150	5102499.0	84.72969813418875
ERR598942	45.0	0.22	Free-living	45	21803571.0	21.524020079096218
SRR9178409	200.0	0.2	Free-living	300	3110059.0	4.527245303063383
ERR599012	5.0	0.22	Free-living	5	27444498.0	53.96690804838187
SRR9178408	175.0	0.2	Free-living	300	3350483.0	2.4496468121163426
SRR9178459	175.0	0.2	Free-living	300	4204221.0	18.93527956784384
SRR9178407	5.0	0.2	Free-living	5	4248907.0	78.99285628045047
ERR599016	75.0	0.22	Free-living	75	7120629.0	63.52504813830351
SRR9178406	150.0	0.2	Free-living	150	6770346.0	44.88052752399951
SRR9178460	225.0	0.2	Free-living	300	2194018.0	2.13398431553433
SRR9178457	250.0	0.2	Free-living	300	3830290.0	1.731983740134559
SRR9178360	150.0	0.2	Free-living	150	1675514.0	11.357529689396806
ERR599075	5.0	0.22	Free-living	5	35662210.0	59.33135663774062
SRR9178359	75.0	0.2	Free-living	75	3497202.0	71.33242517875719
SRR9178485	100.0	0.2	Free-living	150	3736253.0	55.46610467760079
SRR9178319	75.0	0.2	Free-living	75	4268000.0	70.6605435801312
ERR599139	5.0	0.22	Free-living	5	46333901.0	79.40696597076943
SRR9178318	5.0	0.2	Free-living	5	7398798.0	72.43817171383785
SRR9178486	200.0	0.2	Free-living	300	368131.0	2.179930513865988
SRR9178317	500.0	0.2	Free-living	1000	3160188.0	1.080315474902126
ERR599141	5.0	0.22	Free-living	5	6942937.0	56.95153218299402
SRR9178316	45.0	0.2	Free-living	45	4676434.0	69.59411808228235
ERR1726950	150.0	20.0	Particle-bound	150	24471.0	4.531894895999346
SRR9178487	45.0	0.2	Free-living	45	4194054.0	85.50404930408621
SRR9178315	225.0	0.2	Free-living	300	4475366.0	2.407981827631528
ERR599146	5.0	0.22	Free-living	5	10000560.0	18.397919716495874
SRR9178314	45.0	0.2	Free-living	45	6976349.0	72.92833257051791
SRR9178293	200.0	0.2	Free-living	300	3225816.0	4.216049520493419
SRR9178330	25.0	0.2	Free-living	45	6178241.0	76.40164894830099
ERR599148	150.0	0.22	Free-living	150	22014165.0	28.610197116265823
SRR9178292	25.0	0.2	Free-living	45	9212948.0	83.40193605781776
ERR1726937	5.0	20.0	Particle-bound	5	50871.0	3.2376009907412873
SRR9178291	225.0	0.2	Free-living	300	2122080.0	1.7437137148458115
SRR9178489	225.0	0.2	Free-living	300	4838569.0	4.54192138212765
SRR9178290	25.0	0.2	Free-living	45	5876887.0	73.85103712220432
SRR9178289	150.0	0.2	Free-living	150	3939547.0	21.773747083103718
ERR599151	5.0	0.22	Free-living	5	7950993.0	42.652269974328995
SRR9178288	500.0	0.2	Free-living	1000	2878930.0	0.9863386744380725
SRR9178490	45.0	0.2	Free-living	45	4490746.0	76.83905970188472
ERR1726903	5.0	20.0	Particle-bound	5	588602.0	5.839599593613341
SRR9178287	100.0	0.2	Free-living	150	10084562.0	80.36314318856881
