sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ_29	unclassified	33765.99748769492	75	1.2	Free-living
KJ_31	HL	13902613.523461793	75	0.2	Free-living
KJ_31	LL	880871.5324612114	75	0.2	Free-living
KJ_31	unclassified	2282300.3998121168	75	0.2	Free-living
KJ_32	HL	614955.1495983696	75	0.2	Free-living
KJ_32	LL	1717.4990212910698	75	0.2	Free-living
KJ_32	unclassified	93728.63425903411	75	0.2	Free-living
KJ_34_35	HL	1349.1548269961158	150	20.0	Particle-bound
KJ_34_35	LL	21617.82411147054	150	20.0	Particle-bound
KJ_34_35	unclassified	1782.063906390403	150	20.0	Particle-bound
KJ_37_38	HL	2522.261411266153	150	5.0	Particle-bound
KJ_37_38	LL	27870.88826587495	150	5.0	Particle-bound
KJ_37_38	unclassified	2186.361204228797	150	5.0	Particle-bound
KJ_40_41	HL	8823.778064204476	150	1.2	Free-living
KJ_40_41	LL	177870.60861514386	150	1.2	Free-living
KJ_40_41	unclassified	13394.666544345482	150	1.2	Free-living
KJ_43_44	HL	257764.4209790284	150	0.2	Free-living
KJ_43_44	LL	4069190.7557347035	150	0.2	Free-living
KJ_43_44	unclassified	291308.80553351983	150	0.2	Free-living
KJ_46_47	HL	491.54908778383697	300	20.0	Particle-bound
KJ_46_47	LL	184.36151241966746	300	20.0	Particle-bound
KJ_46_47	unclassified	129.3550231010085	300	20.0	Particle-bound
KJ_49_50	HL	398.0372987175995	300	5.0	Particle-bound
KJ_49_50	LL	436.2652211017586	300	5.0	Particle-bound
KJ_49_50	unclassified	75.8722123655176	300	5.0	Particle-bound
KJ_52_53	HL	322.18141376878117	300	1.2	Free-living
KJ_52_53	LL	447.4741857899635	300	1.2	Free-living
KJ_52_53	unclassified	211.90067894824253	300	1.2	Free-living
KJ_58_59	HL	4281.359304198644	1000	20.0	Particle-bound
KJ_58_59	LL	724.4750362465414	1000	20.0	Particle-bound
KJ_58_59	unclassified	808.7763951749902	1000	20.0	Particle-bound
KJ_64_65	HL	2141.0786748761625	1000	1.2	Free-living
KJ_64_65	LL	592.6172990013171	1000	1.2	Free-living
KJ_64_65	unclassified	375.2840982994132	1000	1.2	Free-living
KJ_70_71	HL	26736551.461848963	5	20.0	Particle-bound
KJ_70_71	LL	1684132.755487749	5	20.0	Particle-bound
KJ_70_71	unclassified	4630915.094375233	5	20.0	Particle-bound
KJ_94_95	HL	580.4459406016443	150	20.0	Particle-bound
KJ_94_95	LL	1427.6952449621551	150	20.0	Particle-bound
KJ_94_95	unclassified	269.1453244130513	150	20.0	Particle-bound
KJ_97_98	HL	703.272427315872	150	5.0	Particle-bound
KJ_97_98	LL	1807.2272541190391	150	5.0	Particle-bound
KJ_97_98	unclassified	339.166844379275	150	5.0	Particle-bound
